语言ID,说明                       ,CN
40091,3章10关描述,树魔是荆棘森林的主人，你要么成为它要汲取的养分，要么变成它的傀儡！


40108,4章1关标题,雪地伐木场 1
40109,4章1关描述,成为嗜血者的生物除了具有极强的进攻欲望，就连攻击都变得疯狂。
40110,4章2关标题,雪地伐木场 2
40111,4章2关描述,成为嗜血者的生物除了具有极强的进攻欲望，就连攻击都变得疯狂。
40112,4章3关标题,雪地矿区 3
40113,4章3关描述,虽然死亡骑士的诅咒十分可怕，但是只要能抓住间隙打断其诅咒就能大大降低他的威胁程度。
40114,4章4关标题,雪山矿区 4
40115,4章4关描述,虽然死亡骑士的诅咒十分可怕，但是只要能抓住间隙打断其诅咒就能大大降低他的威胁程度。
40116,4章5关标题,雪山村落 5
40117,4章5关描述,嗜血者们正试图营救自己的同伴，必须阻止他们！
40118,4章6关标题,雪山村落 6
40119,4章6关描述,嗜血者们正试图营救自己的同伴，必须阻止他们！
40120,4章7关标题,雪原洞窟 7
40121,4章7关描述,瘟疫之源在图腾石柱上施加了魔法来为自己的部队提升战斗力，通过破坏和占有石柱来粉碎它的邪恶计划。
40122,4章8关标题,雪原洞窟 8
40123,4章8关描述,瘟疫之源在图腾石柱上施加了魔法来为自己的部队提升战斗力，通过破坏和占有石柱来粉碎它的邪恶计划。
40124,4章9关标题,地下墓穴 9
40125,4章9关描述,埋藏在地下墓穴的骨龙无可避免地苏醒了，愤怒的它只想毁灭眼前的一切！勇往直前阻止骨龙发射激光吐息！
40126,4章10关标题,地下墓穴 10
40127,4章10关描述,埋藏在地下墓穴的骨龙无可避免地苏醒了，愤怒的它只想毁灭眼前的一切！勇往直前阻止骨龙发射激光吐息！


40144,5章1关标题,高地哨岗 1
40145,5章1关描述,负责拦截的哨兵们设下了栅栏，并且放置了远程打击的投石车，试图阻止入侵者。
40146,5章2关标题,高地哨岗 2
40147,5章2关描述,负责拦截的哨兵们设下了栅栏，并且放置了远程打击的投石车，试图阻止入侵者。
40148,5章3关标题,战地废墟 3
40149,5章3关描述,暴躁的石巨人守卫会对试图靠近它的生物统统击飞，同时注意阵型防御分裂出来的小石头人。
40150,5章4关标题,战地废墟 4
40151,5章4关描述,暴躁的石巨人守卫会对试图靠近它的生物统统击飞，同时注意阵型防御分裂出来的小石头人。
40152,5章5关标题,水晶洞窟 5
40153,5章5关描述,“当心脚下的陷阱，如果你不想全身爆裂而死的话！”来自巫妖充满善意的提醒。
40154,5章6关标题,水晶洞窟 6
40155,5章6关描述,“当心脚下的陷阱，如果你不想全身爆裂而死的话！”来自巫妖充满善意的提醒。
40156,5章7关标题,獠牙营地 7
40157,5章7关描述,死亡骑士的死亡冲锋会造成范围伤害的同时不断增加自己的攻击力，不想成为他的斧下亡魂的话就速战速决吧！
40158,5章8关标题,獠牙营地 8
40159,5章8关描述,死亡骑士的死亡冲锋会造成范围伤害的同时不断增加自己的攻击力，不想成为他的斧下亡魂的话就速战速决吧！
40160,5章9关标题,獠牙营地 9
40161,5章9关描述,攻打骷髅召唤师占领的营地时，骷髅大军蜂拥而至，构建攻守兼备的队伍与之抗衡吧！
40162,5章10关标题,獠牙营地 10
40163,5章10关描述,攻打骷髅召唤师占领的营地时，骷髅大军蜂拥而至，构建攻守兼备的队伍与之抗衡吧！


40180,6章1关标题,边防据点 1
40181,6章1关描述,夺取传送水晶就可以获得源源不断的兵力支援。
40182,6章2关标题,边防据点 2
40183,6章2关描述,夺取传送水晶就可以获得源源不断的兵力支援。
40184,6章3关标题,突破重围 3
40185,6章3关描述,人族军队放置了远程炮台对自然族支援军进行压制，想要突出重围必须尽快摧毁炮台！
40186,6章4关标题,突破重围 4
40187,6章4关描述,人族军队放置了远程炮台对自然族支援军进行压制，想要突出重围必须尽快摧毁炮台！
40188,6章5关标题,兵临城下 5
40189,6章5关描述,“我们夺取了人族的炮台，现在可以利用炮台来防守了！”凯德将军面对人族大军，振奋地说到。
40190,6章6关标题,兵临城下 6
40191,6章6关描述,“我们夺取了人族的炮台，现在可以利用炮台来防守了！”凯德将军面对人族大军，振奋地说到。
40192,6章7关标题,自然族圣地 7
40193,6章7关描述,不幸遭到嗜血侵蚀的大长老，运用冰雪的力量极力阻止着莱奥等人。
40194,6章8关标题,自然族圣地 8
40195,6章8关描述,不幸遭到嗜血侵蚀的大长老，运用冰雪的力量极力阻止着莱奥等人。
40196,6章9关标题,放逐的背叛者 9
40197,6章9关描述,“在绝对的力量面前，你们这群蝼蚁所谓的技巧，对我来说毫无意义！”尤达米尔不动声色地说道。
40198,6章10关标题,放逐的背叛者 10
40199,6章10关描述,“在绝对的力量面前，你们这群蝼蚁所谓的技巧，对我来说毫无意义！”尤达米尔不动声色地说道。


40210,7章1关标题,圣灵堂袭来 1
40211,7章1关描述,虽然圣灵堂的突然袭击使得村民们来不及防备，但还是在村子周围搭起了一些栅栏。“我们要利用栅栏对付他们！”莱奥说道。
40212,7章2关标题,圣灵堂袭来 2
40213,7章2关描述,栅栏虽然延缓了圣灵堂的进攻，但是后续前来的圣灵堂攻势并没有减弱，年迈的村长这时候挺身而出，希望能够保护村子！
40214,7章3关标题,圣灵堂袭来 3
40215,7章3关描述,栅栏虽然延缓了圣灵堂的进攻，但是后续前来的圣灵堂攻势并没有减弱，年迈的村长这时候挺身而出，希望能够保护村子！
40216,7章4关标题,哀伤沼泽 4
40217,7章4关描述,“沼泽里有两种颜色的石柱，蓝色的柱子会召唤敌人。”“话说埃迪呢？”“我刚想说这个，红色的柱子会爆炸，埃迪刚才被炸飞了！”
40218,7章5关标题,哀伤沼泽 5
40219,7章5关描述,“沼泽里有两种颜色的石柱，蓝色的柱子会召唤敌人。”“话说埃迪呢？”“我刚想说这个，红色的柱子会爆炸，埃迪刚才被炸飞了！”
40220,7章6关标题,哀伤沼泽 6
40221,7章6关描述,“沼泽里有两种颜色的石柱，蓝色的柱子会召唤敌人。”“话说埃迪呢？”“我刚想说这个，红色的柱子会爆炸，埃迪刚才被炸飞了！”
40222,7章7关标题,诅咒盆地 7
40223,7章7关描述,诅咒盆地的气候十分诡异，变化多端，不清楚这是自然现象还是有人刻意为之，不过值得注意的是：盆地里会出现一种诡异法阵。
40224,7章8关标题,诅咒盆地 8
40225,7章8关描述,诅咒盆地的气候十分诡异，变化多端，不清楚这是自然现象还是有人刻意为之，不过值得注意的是：盆地里会出现一种诡异法阵。
40226,7章9关标题,诅咒盆地 9
40227,7章9关描述,诅咒盆地的气候十分诡异，变化多端，不清楚这是自然现象还是有人刻意为之，不过值得注意的是：盆地里会出现一种诡异法阵。
40228,7章10关标题,暗影谷 10
40229,7章10关描述,“想知道被自己的召唤术打败是什么感觉吗？”尤达米尔的分身狂妄地嘲讽着莱奥等人。



,,
,,
601101,远征1第1章1关标题,城堡外围 1
601102,远征1第1章1关描述,城堡的主人多年前早已消失无踪，但如今城堡外围却布满了防御工事，黑城堡内部究竟发生了什么？
601103,远征1第1章2关标题,城堡外围 2
601104,远征1第1章2关描述,不要被黑骑士的阵势给吓倒了，真正的危险其实来源于上方。
601105,远征1第1章1关标题,城堡密室 1
601106,远征1第1章1关描述,“这里可是我的！我的！我的！！！”癫狂的召唤师挥舞着权杖进行召唤仪式，他的周围不断出现死灵族的士兵。
601107,远征1第1章2关标题,城堡密室 2
601108,远征1第1章2关描述,人们都在翻找密室中的黑城堡宝藏，却未曾发觉能够奴役亡者的骸骨巨龙已经悄然苏醒！
601109,远征1第1章1关标题,城堡后院 1
601110,远征1第1章1关描述,“注意脚下！”有人提醒道。“你们的尸体将由我亲手埋葬！”掘墓人阴森的笑声伴随着毒气蔓延开来！
601111,远征1第1章2关标题,城堡后院 2
601112,远征1第1章2关描述,吸血鬼勋爵挥舞着血腥之鞭，其中一个冒险者被鞭子缠住后，化作了地上的一滩血水……
601113,远征1第1章3关标题,城堡后院 3
601114,远征1第1章3关描述,“亡灵天灾大军降临！”巫妖女王带领着她的死灵大军缓缓向前靠近！
601115,远征1第1章boss关标题,黑城堡
601116,远征1第1章boss关描述,之前因为感染瘟疫而死去的人们，都变成了瘟疫之源的仆役，“我才是黑城堡真正的主人！”

602101,远征2第1章0关标题,森夜村
602102,远征2第1章0关描述,强大的尤达米尔分身，利用冰墙和魔法试图阻挡冒险者们。
602103,远征2第1章1关标题,要塞外围 1
602104,远征2第1章1关描述,蒙德要塞的外围，布置了许多防御栅栏和投石车，如果不快速突破前面的防线，远程炮台将会造成极大的威胁。
602105,远征2第1章2关标题,要塞外围 2
602106,远征2第1章2关描述,离蒙德要塞越来越近，人们感受到的寒冷也越来越明显……必须想办法驱散冰冻和恼人的诅咒。
602107,远征2第1章3关标题,要塞腹地 3
602108,远征2第1章3关描述,布置于蒙德要塞的最后一道防线，高大的森巨人不断地在为受伤的敌人进行恢复和治疗。
602109,远征2第1章1关标题,兵力据点 1
602110,远征2第1章1关描述,炮台是至关重要的攻坚利器，保护好己方的炮台的同时尽快摧毁敌方炮台。
602111,远征2第1章2关标题,兵力据点 2
602112,远征2第1章2关描述,蒙德要塞的兵力补给据点，据说由一位全副武装的将军坐镇，防御工事也布置得十分完善。但只要能攻下据点，就能一定程度上削减蒙德要塞的战力。
602113,远征2第1章1关标题,粮食据点 1
602114,远征2第1章1关描述,根据情报显示，蒙德要塞的粮草补给点中，发现了不少被蛛丝包裹的尸体，同时还有许多被冰冻的尸骸；通过攻占据点来削弱蒙德要塞的战力。
602115,远征2第1章boss关标题,蒙德要塞
602116,远征2第1章boss关描述,对付尤达米尔固然十分棘手，但如果让那个被冰冻的少年苏醒的话，其后果也不堪设想！

603101,远征3第1章1关标题,幽影丛林 1
603102,远征3第1章1关描述,守护石像施放的闪电致命而又危险，死去的亡魂都将供它奴役。
603103,远征3第1章2关标题,幽影丛林 2
603104,远征3第1章2关描述,被惊动的黯焰巨龙喷吐着烈焰，焚烧着它所看到的一切！
603105,远征3第1章3关标题,幽影丛林 3
603106,远征3第1章3关描述,守护石像施放的闪电致命而又危险，死去的亡魂都将供它奴役。
603107,远征3第1章4关标题,幽影丛林 4
603108,远征3第1章4关描述,骷髅王的头颅不知道被谁唤醒了，愤怒的骷髅王将会召唤它的身体来对不速之客进行打击！
603109,远征3第1章5关标题,死寂之地 1
603110,远征3第1章5关描述,一个未知的传送门，在派发英雄的时候，传送门也会有所回应……
603111,远征3第1章6关标题,死寂之地 2
603112,远征3第1章6关描述,黯冰女王的领地寒冷而残忍，被杀死的人们都会被分离出他们仅存的炽热的火种，也许这仅有的火种能够抵挡住这无情的风雪……
603113,远征3第1章7关标题,死寂之地 3
603114,远征3第1章7关描述,从传送门里出来的是无穷无尽的传送门，真真假假，假假真真。
603115,远征3第1章8关标题,死寂之地 4
603116,远征3第1章8关描述,骷髅王的本体，骇人而魁梧的身躯，令人颤栗的大剑，到底它生前经历了什么？为何又会与恶魔签订了契约，成为永生不死的诅咒呢？
603117,远征3第1章boss关标题,骷髅祭坛
603118,远征3第1章boss关描述,之前被分散的骷髅王身体终究全部觉醒，它又想起了永恒的使命：破坏一切！统治一切！臣服于骷髅王强大的力量之下吧！否则就要成为它的剑下亡魂！

,,
6000,剩余血量,剩余血量
6001,远征交战时间,远征交战时间：%d天%d小时%d分钟%d秒
6002,奖励发放等待时间,奖励发放等待时间：%.02d:%.02d:%.02d
6003,挑战次数,挑战次数：%d
6011,远征第1区域标题,桑德利尔
6012,远征第1区域介绍,　　桑德利尔原本是亚特兰王国的附属管辖区，在亚特兰王国的帮助下，桑德利尔逐步从一个不毛之地发展成了拥有城市的地域。\n\n　　建国王亚特兰一世为此还专门派遣大臣伊莱·蒙德作为领主去管理桑德利尔，但在亚特兰一世死后，伊莱·蒙德的儿子艾斯·蒙德竟宣称要脱离亚特兰的管辖独立成国。继任国王亚特兰二世为了维护父亲的权威和基业决定派兵压制艾斯·蒙德的反叛军，这场战斗持续了十多天，虽然最终亚特兰二世凯旋归来，但让人不解的是他竟然宣布桑德利尔自此脱离亚特兰王国的管辖，并且颁布法令禁止国民与桑德利尔进行通商和其他生活来往。\n\n　　自此，蒙德家族彻底消失，如今的桑德利尔已经成为了各种势力的据点，诸如海盗，佣兵，黑暗公会等，但是一直以来都没有哪股势力敢于争夺这片土地的统治权，只有当年亚特兰二世下令焚烧的领主城堡，如同黑曜石一般屹立在此。
6021,远征第2区域标题,亚特兰
6022,远征第2区域介绍,　　为了纪念伟大的人族英雄亚特兰，人们以他的名字命名了这片土地。\n\n　　位于东海岸的亚特王城是王国的首都，也是各大公会的聚集地，许多大型公会的总部都设立在此，因此亚特王城也被誉为“公会之都”。此外，东海岸还有著名的外贸港口马格纳，起着维系路西菲尔，亚特兰，塔玛拉三个王国之间的商业贸易和人口流动重要作用。\n\n　　亚特兰内陆和南部降水充沛，地势平坦，这里的居民一直都以种植业为生，王国建立后这里设为农业发展地区，目的是为了快速提升战争过后的生产力水平，并且还联合邻邦塔玛拉在两地的交界极地巅峰建立了资源开采和共享区，两国之间进行战后的相互扶持，共同发展。\n\n　　西部地区是其他外来人口的聚集地，但是由于该地区资源较为匮乏，发展相对落后，西部海岸因此成为了各种海盗势力和盗墓团体的衍生地，其中不乏臭名昭著的维京人海盗。因此西部地区除了保留有原始的渔业之外，还形成了一条独特的经济产业链：海盗和盗墓贼在外地劫掠珠宝，然后贩卖给矮人珠宝商，珠宝商通过黑市渠道和东部的贸易港口将珠宝转手换取差价。
6031,远征第3区域标题,贤者之地
6032,远征第3区域介绍,　　贤者之地位于亚特兰与塔玛拉交界的西部，神魔大战结束后，人族、自然族和死灵族的领袖决定在此建立了独立于三个种族王国之外的机构：魔法学院。魔法学院的建立是为了平衡各个种族实力达成长期的和平发展，同时也能够促进各个种族间的交流和友谊。\n\n　　虽然魔法学院不受王国的管理，也不涉足政治领域，但不能因此无视它的权威，《和平契约》中明确讲述了魔法学院在维持三个种族和平的义务：……魔法学院有权动用其一切战力阻止三族之间的军事冲突，包括但不限于任意两族进行军事同盟展开对另一种族的侵略；任意种族或势力企图入侵和破坏魔法学院；企图利用魔法学院战力进行种族侵略……魔法学院的行政架构由1名校长，4名长老，8监察队以及12导师组成，其中校长负责主要的学院管理和魔法科研；长老负责分担和协助校长完成管理和科研工作；导师们负责各自领域的教学；监察队主要负责学院的安保以及对外的事务处理，监察队的成员主要是学院内部的召唤师学生。\n\n　　贤者之地除了最为著名的魔法学院，在其周边还有其他负责培训召唤师的机构或者公会，当然它们都是在取得魔法学院认证后才有资格招生办学。
6041,远征第4区域标题,塔玛拉
6042,远征第4区域介绍,　　提到自然族，很少有人完全了解他们的历史，作为埃米尔大陆的原住民，他们一直秉承与自然和谐共处的原则，尝试从自然万物间吸收能量并为其所用。\n\n　　如此向往和平的种族却不得不在龙族的威严之下苟延残喘，受其奴役；向往自由的精灵勇士塔玛拉带领族人反抗看守巨龙，亲手砍下了巨龙的头颅，勇士最终被炙热的龙血灼伤致死，但是她的牺牲换来了自然族的自由。族人们把勇士的遗体带回了无名之乡，并把勇士之名赋予给了这片土地。\n\n　　塔玛拉王国的建立是在神魔大战开始后不久，自然族意识到种族存亡的危机即将来临，他们亟需一位能够领导各个部族的人，最后，精灵族的战士奥丁临危受命，成为塔玛拉王国的第一任国王。\n\n　　塔玛拉境内有许多发源自极地巅峰的大河以及湖泊，气候宜人，植被繁多，有不少树龄超过千年的古树，生态良好。塔玛拉境内拥有历史悠久的手工业和纺织业，精灵族的丝制品，兽人的皮革制品常年出口至亚特兰和路西菲尔。
6051,远征第5区域标题,格斯雷姆
6052,远征第5区域介绍,　　提及格斯雷姆，人们的第一反应是人族的起源，天使的圣地，但是就连人族本身对这个地方也不甚了解，在人族的信仰体系中，天使相当于造物主，引领着人类社会的繁衍和发展。\n\n　　但是史册上却鲜有关于格斯雷姆的记载，关于天使更是只字未提，提到最多的反而是建国王亚特兰一世，随着人族社会的发展，也开始出现信仰分化的人群，因为天使的存在对某些人来说太过缥缈虚幻了。\n\n　　格斯雷姆位于埃米尔大陆的东侧，静静地屹立在大洋的彼端。虽然不少相信天使存在的信仰者不远千里来到格斯雷姆，只为了一睹天使的真容，但是他们始终无法企及“世界的尽头”天脊山：位于整个埃米尔大陆最东侧的山体。\n\n　　天脊山微微悬浮于海洋之上，像是在守望这片大陆一般。
6061,远征第6区域标题,尤苏拉
6062,远征第6区域介绍,　　尤苏拉临近格斯雷姆，在人类还没有出现的时候，这里就已经有各种各样奇异的生命繁衍生息，作为最原始的地区之一，这里比其他的文明区域更为险恶，更为致命！\n\n　　各式各样的元素生物，巨大的爬虫，绞杀活物的藤蔓，布满酸液的盆地，还有那些似龙非龙的巨大骸骨化石，无一不让人毛骨悚然。有人推测这片未经开发的土地下面掩埋着无数珍惜的矿产资源，甚至有冒险者因此而踏上旅程，但是等待着他们的都将会是未知的恐惧和必然的死亡。
6071,远征第7区域标题,奥多尼斯
6072,远征第7区域介绍,　　奥多尼斯，意为“被抛弃的天堂”，魔族曾在此定居并建立起魔王城。神魔大战结束后，魔族败退，奥多尼斯的魔王城因被遗弃而变得破败不堪，这座邪恶的岛屿也渐渐淡出人们的记忆。\n\n　　然而多年之后，许多被通缉的罪犯、恶人以及触及禁忌的人都纷纷逃到此地，奥多尼斯逐渐变成了一个无序的混乱之地，只有力量是唯一信仰，“弱肉强食”是这里的不二法则。\n\n　　也许这里的人是因为各种各样的原因才来到这个“被抛弃的天堂”，但是驱使他们进行战斗的理由却基本一致：外界不能容忍他们的存在，只有在这里，他们才能找到生存的意义。
6081,远征第8区域标题,路西菲尔
6082,远征第8区域介绍,　　死灵族自出现之后，他们就一直生活在这片诡异的土地上，大片的沼泽和沙漠，阻挡阳光的迷雾……你或许能在亚特兰和塔玛拉看到死灵族，但是你要在路西菲尔看到人族和自然族简直是天方夜谭！\n\n　　其他种族无法在这种环境下长久生活，但是死灵族在此早已生息繁衍了数百年。也许正是如此特殊的地理环境形成了死灵族独特的血统观念：血脉越是纯正，就越为珍贵，进而就越能得到族人的重视。而且纯正的血统带来的是强大的原生力量，这是一般血统无法逾越的差距。\n\n　　路西菲尔的东部是无尽沙丘，这里相当于是死灵族境内的“无人区”，只有极少数死灵族能够在此活动；西部是死灵族的主要人口聚集地，王都艾格尼位于萤月湖的东部，现任的死灵族领袖是温蒂女王。\n\n　　与此同时，西部海岸也设有港口尼吉利亚，主要与其他两个王国进行贸易往来，在此设立港口的原因多半还是由于这里的环境没有内陆那么地恶劣。值得一提的是，圣灵堂的主要根据地设立在路西菲尔境内，但是由于这个组织的行踪诡秘，并且经常更换组织地点，所以一般人无法获知他们的动向。但据传温蒂女王已经下令要发起对圣灵堂组织的清剿行动，王国军最近也开始在筹备相应的计划。
6091,远征第9区域标题,沙拉曼达
6092,远征第9区域介绍,　　沙拉曼达，这个名字来源于一条远古巨龙，他是龙族的祖先。\n\n　　风火雷水土五色龙王皆由他衍生而来，沙拉曼达不仅能够使用五种属性的攻击，还具备光明和黑暗这两种本初的属性，它体型巨大，翼展遮天蔽日；他喷吐的烈焰能够熔化大地；他的每一次着陆都是一次海啸，大地也为之震颤。\n\n　　但是这条如神一般的巨龙却在龙神之战爆发的前夕莫名消失了……沙拉曼达上分布有大大小小的火山，其中寄居着灼热的岩浆怪，它们是元素生物的亚种，只能生活在活火山周边，并且喜欢潜伏在火山的岩浆之中，但如果不速之客踏入领地的话，它们也会毫不留情地将其消灭。\n\n　　一些专门收集材料的商人会尝试到这里碰碰运气，黑曜石和其他金属矿是主要的搜集目标，但如果能搜集到龙蛋或是完整的巨龙骸骨就算是意外惊喜了；虽说龙蛋早已不能被孵化，龙骨和龙牙也只是打造武器的部分材料，但也能卖出不菲的价格。
6093,远征休息时间,休息时间：%d天%d小时%d分钟%d秒

,,
,,
70101,远征1第1章地图标题,黑城堡
70201,远征2第1章地图标题,蒙德要塞
70301,远征3第1章地图标题,路西菲尔
70401,远征4第1章地图标题,
70501,远征5第1章地图标题,
70601,远征6第1章地图标题,
70701,远征7第1章地图标题,
70801,远征8第1章地图标题,
70901,远征9第1章地图标题,
71001,远征10,


,,
,,
45001,第一章标题,南部原野
45002,第二章标题,亚特王城
45003,第三章标题,魔法学院
45004,第四章标题,极地巅峰
45005,第五章标题,王之高地
45006,第六章标题,自然王座
45007,第七章标题,暮影之地
,,
46001,副本标题,伊莱克斯
46002,副本简介,远古的魔窟里传来“咚"的一声响
46003,副本标题,伊娃格林
46004,副本简介,远古的魔窟里传来“咚"的一声响
46005,副本标题,地下城魔窟
46006,副本简介,远古的魔窟里传来“咚"的一声响
46007,副本标题,兽族龙巢
46008,副本简介,远古的魔窟里传来“咚"的一声响
46009,副本标题,精灵神树
46010,副本简介,远古的魔窟里传来“咚"的一声响
46011,副本标题,冰封山
46012,副本简介,远古的魔窟里传来“咚"的一声响
46013,副本标题,新年派送
46014,副本简介,新年快乐


,,
,,
16101,远征1头像tips,这个房间布置有机关，但如果你能打败看守房间的人，我或许可以利用零件帮你做一个临时的护盾！
16102,远征1头像tips,听说这个密室里有很多宝藏呢！如果你能消灭里面的怪物，我会考虑分给你一些能量水晶的！
16103,远征1头像tips,请救救我！作为报答我会到前线给你们提供治疗和回复！
16201,远征2头像tips,拿下这个兵力据点！我们就可以利用炮台摧毁最终BOSS的老巢！
16202,远征2头像tips,占领这个据点可以切断敌人的粮食补给，BOSS会因此失去发兵水晶！
16301,远征3头像tips,巨龙确实不好对付，但如果你能打败它并且获得魔龙之心的话，你就能获得前所未有的强大力量！
16302,远征3头像tips,只有打败苏醒的黯冰女王，才能她的极寒冰晶破坏掉！
16401,远征4头像tips,


,,
,,
161,头像tips人物,公会学者
162,头像tips人物,盗贼
163,头像tips人物,牧师
164,头像tips人物,圣骑士
165,头像tips人物,勇士埃迪
166,头像tips人物,火枪手




,,
,,
201101,远征1第一章boss名称,投石车
291101,远征1第一章boss描述,
201102,远征1第一章boss名称,黑骑士
291102,远征1第一章boss描述,
201201,远征1第一章boss名称,癫狂召唤师
291201,远征1第一章boss描述,
201202,远征1第一章boss名称,骸骨巨龙
291202,远征1第一章boss描述,
201301,远征1第一章boss名称,掘墓人
291301,远征1第一章boss描述,
201302,远征1第一章boss名称,吸血鬼勋爵
291302,远征1第一章boss描述,
201303,远征1第一章boss名称,巫妖女王
291303,远征1第一章boss描述,
201401,远征1第一章boss名称,瘟疫之源
291401,远征1第一章boss描述,没有人确切地知道瘟疫之源是如何诞生的，人们对它的印象只有那可怖的面孔和周围散发的瘟疫毒气，所到之处寸草不生的破落景象。不知从何时起，瘟疫之源来到桑德利尔这片土地上，并且发现了黑城堡，它盘算着要成为这里的主宰，将瘟疫遍布整片大陆，让所有人成为它的奴仆！



202100,远征2第一章boss名称,尤达米尔残像
292100,远征2第一章boss描述,
202101,远征2第一章boss名称,防御炮台
292101,远征2第一章boss描述,
202102,远征2第一章boss名称,风雪姬
292102,远征2第一章boss描述,
202103,远征2第一章boss名称,森巨人
292103,远征2第一章boss描述,
202201,远征2第一章boss名称,巨型炮台
292201,远征2第一章boss描述,
202202,远征2第一章boss名称,人族将军
292202,远征2第一章boss描述,
202301,远征2第一章boss名称,巨型冰蛛
292301,远征2第一章boss描述,
202401,远征2第一章boss名称,尤达米尔
